id,favorite_count,retweet_count,date,text,rating_numerator,rating_denominator,name,stage,jpg_url,img_num,breed
892177421306343426,32852,6205,2017-08-01,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,-,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,chihuahua
891815181378084864,24745,4105,2017-07-31,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,-,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,chihuahua
891689557279858688,41672,8543,2017-07-30,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,-,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,labrador_retriever
891327558926688256,39847,9268,2017-07-29,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,-,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset
891087950875897856,19999,3077,2017-07-29,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,Franklin,-,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,chesapeake_bay_retriever
890971913173991426,11707,2043,2017-07-28,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,-,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,appenzeller
890729181411237888,64715,18657,2017-07-28,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,Jax,-,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,pomeranian
890609185150312448,27505,4218,2017-07-27,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,-,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,irish_terrier
890240255349198849,31557,7304,2017-07-26,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,pembroke
890006608113172480,30318,7247,2017-07-26,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,-,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,samoyed
889880896479866881,27469,4921,2017-07-25,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,-,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,french_bulldog
889665388333682689,47581,9945,2017-07-25,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13,10,Bubba,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,pembroke
889638837579907072,26864,4492,2017-07-25,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,-,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,french_bulldog
889531135344209921,14920,2213,2017-07-24,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever
889278841981685760,25013,5357,2017-07-24,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,-,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet
888917238123831296,28768,4450,2017-07-23,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,-,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever
888804989199671297,25302,4274,2017-07-22,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,-,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,golden_retriever
888554962724278272,19656,3534,2017-07-22,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Ralphus,-,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,siberian_husky
